"","Municipal","County","State","Region","Year","Unemployment Rate (Avg)","Number of Unemployed (Avg)","Number of Employed (Avg)","Number in Labor Force (Avg)"
"2093","Eastham","Barnstable County","MA","Eastham",2012,8.9,235,2404,2639
"2094","Easthampton","Hampshire County","MA","Easthampton",1990,5.8,498,8136,8634
"2095","Easthampton","Hampshire County","MA","Easthampton",1991,8.9,764,7822,8586
"2096","Easthampton","Hampshire County","MA","Easthampton",1992,8.8,748,7795,8543
"2097","Easthampton","Hampshire County","MA","Easthampton",1993,6.7,564,7814,8378
"2098","Easthampton","Hampshire County","MA","Easthampton",1994,6.2,516,7857,8373
"2099","Easthampton","Hampshire County","MA","Easthampton",1995,5.9,500,7990,8490
"2100","Easthampton","Hampshire County","MA","Easthampton",1996,4.1,347,8127,8474
"2101","Easthampton","Hampshire County","MA","Easthampton",1997,3.8,330,8294,8624
"2102","Easthampton","Hampshire County","MA","Easthampton",1998,3.7,317,8248,8565
"2103","Easthampton","Hampshire County","MA","Easthampton",1999,3.1,265,8303,8568
"2104","Easthampton","Hampshire County","MA","Easthampton",2000,2.3,216,9220,9436
"2105","Easthampton","Hampshire County","MA","Easthampton",2001,2.9,272,9216,9488
"2106","Easthampton","Hampshire County","MA","Easthampton",2002,3.8,365,9191,9556
"2107","Easthampton","Hampshire County","MA","Easthampton",2003,4.4,417,9139,9556
"2108","Easthampton","Hampshire County","MA","Easthampton",2004,4.1,393,9077,9470
"2109","Easthampton","Hampshire County","MA","Easthampton",2005,4.1,384,9077,9461
"2110","Easthampton","Hampshire County","MA","Easthampton",2006,3.9,375,9182,9557
"2111","Easthampton","Hampshire County","MA","Easthampton",2007,3.9,371,9198,9569
"2112","Easthampton","Hampshire County","MA","Easthampton",2008,4.8,460,9191,9651
"2113","Easthampton","Hampshire County","MA","Easthampton",2009,7.6,729,8807,9536
"2114","Easthampton","Hampshire County","MA","Easthampton",2010,7.8,737,8716,9453
"2115","Easthampton","Hampshire County","MA","Easthampton",2011,6.8,625,8608,9233
"2116","Easthampton","Hampshire County","MA","Easthampton",2012,6.1,563,8613,9176
"2117","Easton","Bristol County","MA","Easton",1990,5.9,672,10667,11339
"2118","Easton","Bristol County","MA","Easton",1991,8.8,992,10263,11255
"2119","Easton","Bristol County","MA","Easton",1992,9,1012,10173,11185
"2120","Easton","Bristol County","MA","Easton",1993,6.8,776,10712,11488
"2121","Easton","Bristol County","MA","Easton",1994,6,720,11362,12082
"2122","Easton","Bristol County","MA","Easton",1995,4.6,557,11462,12019
"2123","Easton","Bristol County","MA","Easton",1996,4.4,531,11574,12105
"2124","Easton","Bristol County","MA","Easton",1997,3.8,468,11939,12407
"2125","Easton","Bristol County","MA","Easton",1998,2.9,367,12094,12461
"2126","Easton","Bristol County","MA","Easton",1999,3,383,12283,12666
"2127","Easton","Bristol County","MA","Easton",2000,2.3,300,12782,13082
"2128","Easton","Bristol County","MA","Easton",2001,3.1,404,12698,13102
"2129","Easton","Bristol County","MA","Easton",2002,4.3,563,12637,13200
"2130","Easton","Bristol County","MA","Easton",2003,4.8,630,12458,13088
"2131","Easton","Bristol County","MA","Easton",2004,4.5,586,12477,13063
"2132","Easton","Bristol County","MA","Easton",2005,4.1,535,12501,13036
"2133","Easton","Bristol County","MA","Easton",2006,4.1,535,12665,13200
"2134","Easton","Bristol County","MA","Easton",2007,3.7,495,12805,13300
"2135","Easton","Bristol County","MA","Easton",2008,4.7,631,12848,13479
"2136","Easton","Bristol County","MA","Easton",2009,7.2,953,12297,13250
"2137","Easton","Bristol County","MA","Easton",2010,7.3,978,12350,13328
"2138","Easton","Bristol County","MA","Easton",2011,6.2,817,12412,13229
"2139","Easton","Bristol County","MA","Easton",2012,5.9,787,12521,13308
"2140","Edgartown","Dukes County","MA","Edgartown",1990,6.6,142,2007,2149
"2141","Edgartown","Dukes County","MA","Edgartown",1991,9.9,224,2042,2266
"2142","Edgartown","Dukes County","MA","Edgartown",1992,9.9,212,1936,2148
"2143","Edgartown","Dukes County","MA","Edgartown",1993,8.6,192,2051,2243
"2144","Edgartown","Dukes County","MA","Edgartown",1994,8.4,203,2209,2412
"2145","Edgartown","Dukes County","MA","Edgartown",1995,7.4,187,2330,2517
"2146","Edgartown","Dukes County","MA","Edgartown",1996,6.6,173,2432,2605
"2147","Edgartown","Dukes County","MA","Edgartown",1997,6.2,164,2498,2662
"2148","Edgartown","Dukes County","MA","Edgartown",1998,4.8,130,2594,2724
"2149","Edgartown","Dukes County","MA","Edgartown",1999,4.6,126,2636,2762
"2150","Edgartown","Dukes County","MA","Edgartown",2000,3.2,81,2484,2565
"2151","Edgartown","Dukes County","MA","Edgartown",2001,3.7,96,2491,2587
"2152","Edgartown","Dukes County","MA","Edgartown",2002,4.6,126,2584,2710
"2153","Edgartown","Dukes County","MA","Edgartown",2003,4.8,135,2687,2822
"2154","Edgartown","Dukes County","MA","Edgartown",2004,4.3,123,2705,2828
"2155","Edgartown","Dukes County","MA","Edgartown",2005,4.5,126,2678,2804
"2156","Edgartown","Dukes County","MA","Edgartown",2006,4.5,128,2704,2832
"2157","Edgartown","Dukes County","MA","Edgartown",2007,4,115,2740,2855
"2158","Edgartown","Dukes County","MA","Edgartown",2008,4.7,136,2741,2877
"2159","Edgartown","Dukes County","MA","Edgartown",2009,7.3,215,2717,2932
"2160","Edgartown","Dukes County","MA","Edgartown",2010,8.5,247,2644,2891
"2161","Edgartown","Dukes County","MA","Edgartown",2011,8.5,248,2665,2913
"2162","Edgartown","Dukes County","MA","Edgartown",2012,7.8,228,2692,2920
"2163","Egremont","Berkshire County","MA","Egremont",1990,2.8,19,661,680
"2164","Egremont","Berkshire County","MA","Egremont",1991,5.1,35,650,685
"2165","Egremont","Berkshire County","MA","Egremont",1992,4.9,35,675,710
"2166","Egremont","Berkshire County","MA","Egremont",1993,3.1,21,660,681
"2167","Egremont","Berkshire County","MA","Egremont",1994,2.6,18,672,690
"2168","Egremont","Berkshire County","MA","Egremont",1995,2,15,718,733
"2169","Egremont","Berkshire County","MA","Egremont",1996,2.6,20,737,757
"2170","Egremont","Berkshire County","MA","Egremont",1997,2.1,16,754,770
"2171","Egremont","Berkshire County","MA","Egremont",1998,2,15,724,739
"2172","Egremont","Berkshire County","MA","Egremont",1999,1.9,14,723,737
"2173","Egremont","Berkshire County","MA","Egremont",2000,1.5,12,771,783
"2174","Egremont","Berkshire County","MA","Egremont",2001,2,16,797,813
"2175","Egremont","Berkshire County","MA","Egremont",2002,2.7,23,821,844
"2176","Egremont","Berkshire County","MA","Egremont",2003,2.9,25,823,848
"2177","Egremont","Berkshire County","MA","Egremont",2004,3.3,28,821,849
"2178","Egremont","Berkshire County","MA","Egremont",2005,3.3,29,843,872
"2179","Egremont","Berkshire County","MA","Egremont",2006,2.9,25,852,877
"2180","Egremont","Berkshire County","MA","Egremont",2007,2.9,25,835,860
"2181","Egremont","Berkshire County","MA","Egremont",2008,3.5,30,836,866
"2182","Egremont","Berkshire County","MA","Egremont",2009,4.8,41,809,850
"2183","Egremont","Berkshire County","MA","Egremont",2010,5.6,44,744,788
"2184","Egremont","Berkshire County","MA","Egremont",2011,4.5,35,748,783
"2185","Egremont","Berkshire County","MA","Egremont",2012,3.6,28,742,770
"2186","Erving","Franklin County","MA","Erving",1990,3.8,28,700,728
"2187","Erving","Franklin County","MA","Erving",1991,7.5,55,674,729
"2188","Erving","Franklin County","MA","Erving",1992,7.8,55,647,702
"2189","Erving","Franklin County","MA","Erving",1993,5.7,40,659,699
"2190","Erving","Franklin County","MA","Erving",1994,3.6,25,674,699
"2191","Erving","Franklin County","MA","Erving",1995,3.5,26,707,733
"2192","Erving","Franklin County","MA","Erving",1996,3,22,713,735
"2193","Erving","Franklin County","MA","Erving",1997,3.1,23,730,753
"2194","Erving","Franklin County","MA","Erving",1998,3,23,743,766
"2195","Erving","Franklin County","MA","Erving",1999,3,23,751,774
"2196","Erving","Franklin County","MA","Erving",2000,2.5,20,777,797
"2197","Erving","Franklin County","MA","Erving",2001,3.5,28,779,807
"2198","Erving","Franklin County","MA","Erving",2002,5.5,46,791,837
"2199","Erving","Franklin County","MA","Erving",2003,4.5,38,804,842
"2200","Erving","Franklin County","MA","Erving",2004,3.8,32,800,832
"2201","Erving","Franklin County","MA","Erving",2005,5.1,43,805,848
"2202","Erving","Franklin County","MA","Erving",2006,4.3,37,818,855
"2203","Erving","Franklin County","MA","Erving",2007,4.6,39,802,841
"2204","Erving","Franklin County","MA","Erving",2008,5.5,46,796,842
"2205","Erving","Franklin County","MA","Erving",2009,9.2,78,772,850
"2206","Erving","Franklin County","MA","Erving",2010,7.7,76,914,990
"2207","Erving","Franklin County","MA","Erving",2011,7,69,915,984
"2208","Erving","Franklin County","MA","Erving",2012,5.7,56,918,974
"2209","Essex","Essex County","MA","Essex",1990,5.4,101,1761,1862
"2210","Essex","Essex County","MA","Essex",1991,7.4,136,1702,1838
"2211","Essex","Essex County","MA","Essex",1992,7.8,146,1733,1879
"2212","Essex","Essex County","MA","Essex",1993,5.9,113,1809,1922
"2213","Essex","Essex County","MA","Essex",1994,4.5,89,1879,1968
"2214","Essex","Essex County","MA","Essex",1995,5.1,96,1785,1881
"2215","Essex","Essex County","MA","Essex",1996,3.5,66,1827,1893
"2216","Essex","Essex County","MA","Essex",1997,3.3,63,1873,1936
"2217","Essex","Essex County","MA","Essex",1998,3,60,1914,1974
"2218","Essex","Essex County","MA","Essex",1999,2.8,56,1934,1990
"2219","Essex","Essex County","MA","Essex",2000,2.5,46,1777,1823
"2220","Essex","Essex County","MA","Essex",2001,3.3,61,1794,1855
"2221","Essex","Essex County","MA","Essex",2002,4.6,86,1768,1854
"2222","Essex","Essex County","MA","Essex",2003,5.2,96,1750,1846
"2223","Essex","Essex County","MA","Essex",2004,4.9,91,1750,1841
"2224","Essex","Essex County","MA","Essex",2005,4.2,78,1764,1842
"2225","Essex","Essex County","MA","Essex",2006,4.2,74,1708,1782
"2226","Essex","Essex County","MA","Essex",2007,4.1,74,1725,1799
"2227","Essex","Essex County","MA","Essex",2008,5.1,93,1732,1825
"2228","Essex","Essex County","MA","Essex",2009,7.3,133,1680,1813
"2229","Essex","Essex County","MA","Essex",2010,7.6,147,1789,1936
"2230","Essex","Essex County","MA","Essex",2011,6.7,131,1812,1943
"2231","Essex","Essex County","MA","Essex",2012,5.9,115,1832,1947
"2232",NA,"Essex County","MA","Essex County",1990,6.7,23368,326511,349879
"2233",NA,"Essex County","MA","Essex County",1991,9,31376,317592,348968
"2234",NA,"Essex County","MA","Essex County",1992,9.2,32281,317089,349370
"2235",NA,"Essex County","MA","Essex County",1993,7.6,26357,321811,348168
"2236",NA,"Essex County","MA","Essex County",1994,6.5,22915,327915,350830
"2237",NA,"Essex County","MA","Essex County",1995,5.5,19475,333162,352637
"2238",NA,"Essex County","MA","Essex County",1996,4.7,16741,341478,358219
"2239",NA,"Essex County","MA","Essex County",1997,4.3,15774,349896,365670
"2240",NA,"Essex County","MA","Essex County",1998,3.8,13968,358353,372321
"2241",NA,"Essex County","MA","Essex County",1999,3.6,13495,364053,377548
"2242",NA,"Essex County","MA","Essex County",2000,2.8,10407,362525,372932
"2243",NA,"Essex County","MA","Essex County",2001,4,15305,363684,378989
"2244",NA,"Essex County","MA","Essex County",2002,5.9,22565,358960,381525
"2245",NA,"Essex County","MA","Essex County",2003,6.4,24247,354844,379091
"2246",NA,"Essex County","MA","Essex County",2004,5.8,21693,353660,375353
"2247",NA,"Essex County","MA","Essex County",2005,5.2,19700,355977,375677
"2248",NA,"Essex County","MA","Essex County",2006,5.1,19133,355217,374350
"2249",NA,"Essex County","MA","Essex County",2007,4.8,17838,356503,374341
"2250",NA,"Essex County","MA","Essex County",2008,5.7,21418,356798,378216
"2251",NA,"Essex County","MA","Essex County",2009,8.7,33230,347911,381141
"2252",NA,"Essex County","MA","Essex County",2010,8.7,33384,349156,382540
"2253",NA,"Essex County","MA","Essex County",2011,7.7,29642,353716,383358
"2254",NA,"Essex County","MA","Essex County",2012,7.1,27467,357483,384950
"2255","Everett","Middlesex County","MA","Everett",1990,7,1339,17695,19034
"2256","Everett","Middlesex County","MA","Everett",1991,9.7,1811,16899,18710
"2257","Everett","Middlesex County","MA","Everett",1992,10,1850,16596,18446
"2258","Everett","Middlesex County","MA","Everett",1993,8,1424,16480,17904
"2259","Everett","Middlesex County","MA","Everett",1994,7.1,1264,16611,17875
"2260","Everett","Middlesex County","MA","Everett",1995,6.6,1211,17220,18431
"2261","Everett","Middlesex County","MA","Everett",1996,4.9,910,17481,18391
"2262","Everett","Middlesex County","MA","Everett",1997,4.5,839,17882,18721
"2263","Everett","Middlesex County","MA","Everett",1998,3.8,708,18051,18759
"2264","Everett","Middlesex County","MA","Everett",1999,4,761,18110,18871
"2265","Everett","Middlesex County","MA","Everett",2000,3.1,593,18813,19406
"2266","Everett","Middlesex County","MA","Everett",2001,3.9,755,18674,19429
"2267","Everett","Middlesex County","MA","Everett",2002,5.9,1140,18220,19360
"2268","Everett","Middlesex County","MA","Everett",2003,7.1,1361,17861,19222
"2269","Everett","Middlesex County","MA","Everett",2004,5.7,1079,17721,18800
"2270","Everett","Middlesex County","MA","Everett",2005,5.4,1006,17736,18742
"2271","Everett","Middlesex County","MA","Everett",2006,5.3,1000,17702,18702
"2272","Everett","Middlesex County","MA","Everett",2007,5,940,17922,18862
"2273","Everett","Middlesex County","MA","Everett",2008,5.8,1102,17973,19075
"2274","Everett","Middlesex County","MA","Everett",2009,8.5,1639,17597,19236
"2275","Everett","Middlesex County","MA","Everett",2010,8.3,1756,19432,21188
"2276","Everett","Middlesex County","MA","Everett",2011,7.7,1651,19718,21369
"2277","Everett","Middlesex County","MA","Everett",2012,6.9,1475,19934,21409
"2278","Fairhaven","Bristol County","MA","Fairhaven",1990,8.1,662,7465,8127
"2279","Fairhaven","Bristol County","MA","Fairhaven",1991,12.2,1012,7251,8263
"2280","Fairhaven","Bristol County","MA","Fairhaven",1992,11.8,967,7236,8203
"2281","Fairhaven","Bristol County","MA","Fairhaven",1993,10,823,7412,8235
"2282","Fairhaven","Bristol County","MA","Fairhaven",1994,9.2,768,7568,8336
"2283","Fairhaven","Bristol County","MA","Fairhaven",1995,8.6,689,7286,7975
"2284","Fairhaven","Bristol County","MA","Fairhaven",1996,7.8,614,7212,7826
"2285","Fairhaven","Bristol County","MA","Fairhaven",1997,6.5,516,7364,7880
"2286","Fairhaven","Bristol County","MA","Fairhaven",1998,5.6,441,7393,7834
"2287","Fairhaven","Bristol County","MA","Fairhaven",1999,5.2,411,7436,7847
"2288","Fairhaven","Bristol County","MA","Fairhaven",2000,3.6,304,8149,8453
"2289","Fairhaven","Bristol County","MA","Fairhaven",2001,4.2,354,8085,8439
"2290","Fairhaven","Bristol County","MA","Fairhaven",2002,5.8,500,8130,8630
"2291","Fairhaven","Bristol County","MA","Fairhaven",2003,6.4,540,7941,8481
"2292","Fairhaven","Bristol County","MA","Fairhaven",2004,5.8,486,7961,8447
"2293","Fairhaven","Bristol County","MA","Fairhaven",2005,5.7,488,8036,8524
"2294","Fairhaven","Bristol County","MA","Fairhaven",2006,5.7,492,8197,8689
